cartodb_id,the_geom,id,id_1,highway,height,lamp_count,lamp_height,lamp_light,lamp_lit,lamp_shape,lamp_tilt,lit,light_colour,light_count,light_lit,light_method,light_shape,light_tilt,support,_natural,amenity
59,0101000020E610000080EC9A351DD60DC0081456CFEE394440,node/3456445703,node/3456445703,street_lamp,,,,,,,,,,,,,,,,,
990,0101000020E6100000F7240BF379D00DC01B62612DE3384440,node/4139559806,node/4139559806,street_lamp,,,,,,,,yes,,,,,,,,,
600,0101000020E6100000030C2659E2DC0DC0F0390BD693394440,node/3718369285,node/3718369285,street_lamp,,,,,,,,,,,,,,,,,
845,0101000020E610000074DF7BC910F10DC06F3D5464BE394440,node/3720055693,node/3720055693,street_lamp,,,,,,,,yes,,,,,,,,,
1,0101000020E61000002BA4FCA4DAE70DC0F8C19E1B3F384440,node/3273213888,node/3273213888,street_lamp,,,,,,,,,,,,,,,,,
2,0101000020E610000092BC299B28E80DC0D556917648384440,node/3273213890,node/3273213890,street_lamp,,,,,,,,,,,,,,,,,
3,0101000020E6100000DB5A159799E80DC022DD747055384440,node/3273213894,node/3273213894,street_lamp,,,,,,,,,,,,,,,,,
4,0101000020E610000067D2A6EA1EE90DC014C2B4B97B384440,node/3273213899,node/3273213899,street_lamp,,,,,,,,,,,,,,,,,
5,0101000020E610000074C3A51941E90DC05455682096384440,node/3273213901,node/3273213901,street_lamp,,,,,,,,,,,,,,,,,
6,0101000020E61000002064B4E963E90DC04D7B945BA4384440,node/3273213903,node/3273213903,street_lamp,,,,,,,,,,,,,,,,,
7,0101000020E61000001087B6AD77E90DC0F80379D1B2384440,node/3273213905,node/3273213905,street_lamp,,,,,,,,,,,,,,,,,
8,0101000020E6100000D4388A62A8E90DC07FB9BB73CD384440,node/3273213908,node/3273213908,street_lamp,,,,,,,,,,,,,,,,,
9,0101000020E610000014B2F33636EB0DC0DF5D1DB6E3384440,node/3273213909,node/3273213909,street_lamp,,,,,,,,,,,,,,,,,
10,0101000020E61000007CFABE6EC7EA0DC0A2C739FB14394440,node/3273213912,node/3273213912,street_lamp,,,,,,,,,,,,,,,,,
11,0101000020E61000006F2BBD361BEB0DC0485167EE21394440,node/3273213914,node/3273213914,street_lamp,,,,,,,,,,,,,,,,,
12,0101000020E61000007571C0536DEC0DC0C405459847394440,node/3273213917,node/3273213917,street_lamp,,,,,,,,,,,,,,,,,
13,0101000020E6100000400BAE5EEAEC0DC0A48D7E8F55394440,node/3273213919,node/3273213919,street_lamp,,,,,,,,,,,,,,,,,
14,0101000020E61000004B6D4ECA49ED0DC004430C2A60394440,node/3273213921,node/3273213921,street_lamp,,,,,,,,,,,,,,,,,
15,0101000020E6100000220A1CBFA6ED0DC0A4ADA5DB6D394440,node/3273213924,node/3273213924,street_lamp,,,,,,,,,,,,,,,,,
16,0101000020E6100000758E01D9EBED0DC0395C508479394440,node/3273213927,node/3273213927,street_lamp,,,,,,,,,,,,,,,,,
17,0101000020E61000007B1684F23EEE0DC008EF61E586394440,node/3273213929,node/3273213929,street_lamp,,,,,,,,,,,,,,,,,
18,0101000020E6100000A26B15B314EF0DC06E19CB4F053A4440,node/3273213955,node/3273213955,street_lamp,,,,,,,,,,,,,,,,,
19,0101000020E61000009F2B5B3519EF0DC030E939330B3A4440,node/3273213959,node/3273213959,street_lamp,,,,,,,,,,,,,,,,,
